Short description,Description,Caller,Assignment group
printer ag99 - printing ink empty,"received from: przcxbml.vnjdghui@gmail.com

hello support team,

the printer ag99 needs printing ink.

where do i get paper for the printer?

may i ask you to support here.",przcxbml vnjdghui,GRP_28
not able to connect to vpn,not able to connect to vpn,mtzjkhpi sfcmyjzx,GRP_0
unable process break bulk (sto),"received from: rxoynvgi.ntgdsehl@gmail.com

hi it team

kindly please assist as we unable to close break bulk (sto) in ecs system due to nothing in the system.

we have completely bulk for plant_283 and plant_101 sto in ecs system but nothing shown.

below attached your reference.

[cid:image001.png@01d2231d.d8c5ef80]


hydstheud mddwwyleh
operation supervisor
company distribution services of asia pte ltd
( asia regional distribution centre)

email : rxoynvgi.ntgdsehl@gmail.com<mailto:rxoynvgi.ntgdsehl@gmail.com>",rxoynvgi ntgdsehl,GRP_18
pick up old equipment it (2x cad ws nd monitor) \ umykjweg jpwrfuhk,pick up old equipment it (2x cad ws nd monitor) \ umykjweg jpwrfuhk,umykjweg jpwrfuhk,GRP_24
reset password,"received from: rugdyxqh.aqvocmuy@gmail.com

good day all

please assist me in resetting my erp password

user name krugew245

kind",rugdyxqh aqvocmuy,GRP_0
bugs in to do list _operator dashbankrd,please find the attachment for the issue detail.,yrogbkts lmurgdcf,GRP_41
network outage:juarez-dmvpn-1811-rtr01 is down since 4:39 am et on 10/10,"what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____no____     (yes/no/na) 

2. when did it start  ?   ____ 4:39 am et on 10/10_________________

3.  scheduled maintenance ( power) ? __no_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___na____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  _no_____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ______na_____   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",bozdftwx smylqejw,GRP_8
eu remote fails to connect ... na remote terminates automatically,"i'm trying to connect to eu remote, but only get ...

your session is finished. 
logged out successfully.",ctvaejbo mjcerqwo,GRP_0
erp password change with password_management_tool: error: password change failed. old password is invalidated,"hi gso,
i tried thrgxqsuojr xwbesorfs to renew my password from erp with password_management_tool password manager. it doesnt work....

error message:
error: password change failed. old password is invalidated. please try again using a different password. failed to perform operation [reset]. 

please reset my password.",vykbweum hpvctbse,GRP_0
install hardcopy \ewew8323647 \rhaycqjg arcgonvy,install hardcopy \ewew8323647 \rhaycqjg arcgonvy,rhaycqjg arcgonvy,GRP_24
can not connect to the hana server via us vpn,i'm using the us vpn as the european one is down fjaqbgnld yukdzwxs.  i can't reach the hana box.  i can connect to all other machines on the network. i have attached the reporting_tool failure and a tracert to the box.  i have rebooted my machine and broadband.,hldifrbv gadyktfz,GRP_0
"circuit outage: germany ,erkheim-dmvpn-2821-rtr01 is down since 3:31 am et on 10/09.","what type of outage:  _____network     _ x___circuit     ____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ____3:31 am et on 10/09._________________

3.  scheduled maintenance ( power) ? ____no___    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____na___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ____yes__    (yes/no/na) 

6. backup circuit active ?   ___yes_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ______na_____   (yes/no/na) 

9. equipment reset ?    _______na____    (yes/no/na) 

10. verified site working on backup circuit ?  ___yes____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",bozdftwx smylqejw,GRP_8
problems with WE110 \ the print queue is not currently running \ fdyietau dvsyxwbu,problems with WE110 \ the print queue is not currently running \ fdyietau dvsyxwbu,fdyietau dvsyxwbu,GRP_24
paper jam for insert printer,paper jam for insert printer,tcoyfeph cqrdaunw,GRP_31
different problems - please reinstall eagw8111412 with current fy17 company image - upgrade ramdnty to 8gb,different problems - please reinstall eagw8111412 with current fy17 company image - upgrade ramdnty to 8gb,jkshpurg isjgbdch,GRP_28
enter and edit the link,vroxskje.bixtmefd@gmail.com need to enter and edit the link:{e248922f-456b-4fdd-8c6d-d94083a94009}&file=apac%20-%20approved%20exception%20list.xlsx&action=default,vroxskje bixtmefd,GRP_0
vpn not getting log in,"name:vithrkas 
language:
browser:microsoft internet explorer
email:xiwegtas.ygrfbzon@gmail.com
customer number:
telephone:
summary:vpn not getting log in",xiwegtas ygrfbzon,GRP_0
i cant have preview of pictures in explorer. i just see icons.,i cant have preview of pictures in explorer. i just see icons.,cqwtksbu tgxockrn,GRP_28
host HostName_1178 is disconnected in vsphere,host HostName_1178 is disconnected in vsphere,bozdftwx smylqejw,GRP_12
vpn connection issue,"received from: qwvpgayb.amniujsh@gmail.com

hi,
i cannot access the vpn. when i click on ""open new session"" nothing happens.",qwvpgayb amniujsh,GRP_0
erp password & password -- reg,"received from: xdvwitpm.zscxqdho@gmail.com

sir,

my user id is bathylardb & given password is india16. but im unable to login to the erp

request you to reset the password & send the same.",xdvwitpm zscxqdho,GRP_0
job Job_481 failed in job_scheduler at: 10/10/2016 03:09:00,"received from: monitoring_tool@company.com

job Job_481 failed in job_scheduler at: 10/10/2016 03:09:00",bpctwhsn kzqsbmtp,GRP_8
india pbx awyl8328998 is down since 2:56am et on 10/10/2016.,india awyl8328998 is down since 2:56am et on 10/10/2016.,dkmcfreg anwmfvlg,GRP_8
add user ashtusis pyhuule (phufsav) to active directory eagcutview,"add user ashtusis pyhuule (phufsav) to active directory eagcutview
remove user yhru manyhsu (ayujdm) from this ad.",skocrqdw pexcdfao,GRP_2
"germany, germany:gigabitethernet2/0/17  on germany-edksw002-2960-stack-sw002 went down at 10/10/2016 2:25 am et","germany, germany:gigabitethernet2/0/17  on germany-edksw002-2960-stack-sw002 went down at 10/10/2016 2:25 am et",bozdftwx smylqejw,GRP_8
reset password erp SID_34,"received from: zuxcfonv.nyhpkrbe@gmail.com

gso,

please kindly reset password for zhhtyangq with erp SID_34  ,",zuxcfonv nyhpkrbe,GRP_0
reeset password,reeset password,mdvlkbac uhefoqtg,GRP_31
skype not loads on the pc.,Skype is not the browser loaded even after long wait,qpbwfvdm ytlnodrv,GRP_0
help to change the windows password using password_management_tool password tool.,"help to change the windows password using password_management_tool password tool.
-connected to the user system using teamviewer.
-help the user login to the password_manager_tool password tool and change the passwords.
-help the user to sync the psswords to the company network.
-caller confirmed that he was able to login.
-issue resolved.",tvrigdbl mjsepfda,GRP_0
unlock erp SID_34,"received from: zuxcfonv.nyhpkrbe@gmail.com

gso,

please unlock the erp SID_34 for linz ,",zuxcfonv nyhpkrbe,GRP_0
skype not work.,"received from: yjwivxsh.fcetobrj@gmail.com

dear it team.

my skype not work.

best",yjwivxsh fcetobrj,GRP_0
no vpn access - pls help,"received from: luagmhds.iymwcelx@gmail.com

hi helpdesk,

when trying to access vpn, following message appears.
i am unable to get in by clicking ""click here""….

pls help because i am doing ppm reviews from outside company office with my team today and need access to data from company folders….

thx.

[cid:image001.png@01d222c8.e67ad960]



micheyi gyhus
vice president

luagmhds.iymwcelx@gmail.com<mailto:luagmhds.iymwcelx@gmail.com>
company inc. | www.company.com<",luagmhds iymwcelx,GRP_0
germany can't connect using vpn (f5 networks),"phone  email iewnguxv.bufwxeiy@gmail.com

germany can't connect to the local network using the f5-vpn connection.
it worked until saturday, sunday morning we got just the screen ' your logoff was successfully' 
i called the phone support, he fixed this,
but now, after logon we can't reach  erp and the servers in our plant..
ping failed.
please fix this, our external employees can not work.",iewnguxv bufwxeiy,GRP_0
job Job_1148 failed in job_scheduler at: 10/10/2016 01:15:00,"received from: monitoring_tool@company.com

job Job_1148 failed in job_scheduler at: 10/10/2016 01:15:00",bpctwhsn kzqsbmtp,GRP_9
cant connect to the network.mobile hot spot also not connecting.telecom_vendor_3 4g,"cant connect to the network.mobile hot spot also not connecting..telecom_vendor_3 4g
-hecked the network connection  settings.
-restarted the system.tried to connect.getting limited 
ph:",otpkzifh gywinoml,GRP_19
"EU_tool, batch management, pdv","the systems EU_tool, batch management, pdv run absolutely bad.
you can ""not"" really work with them that way.",hwxqoijt cotsgwrj,GRP_25
server HostName_1233 was down,"c:\users\virakv>ping HostName_1233.company.company.com

pinging HostName_1233.company.company.com [61.01.52.0260] with 32 bytes of data:
request timed out.
request timed out.
request timed out.
request timed out.

ping statistics for 61.01.52.0260:
    packets: sent = 4, received = 0, lost = 4 (100% loss),",kbnfxpsy gehxzayq,GRP_12
unable to generate sto as per purrqs 4121889522/00001,"unable to generate sto as per purrqs 4121889522/00001 , please find the error message as attached file.  please help fixing this issue aerp.",tqfnalpj qyoscnge,GRP_29
job Job_1141 failed in job_scheduler at: 10/09/2016 23:45:00,"received from: monitoring_tool@company.com

job Job_1141 failed in job_scheduler at: 10/09/2016 23:45:00",bpctwhsn kzqsbmtp,GRP_9
vpn issue,"received from: ygkzwsud.cvjgkxws@gmail.com

hello,

my vpn page is not responding, unable to connect.",ygkzwsud cvjgkxws,GRP_0
cannot start outlook email,"received from: ynsqjehx.kqgrsawl@gmail.com

hi it team,


since yesterday my laptop was unable to start outlook mail. i could only use web mail now.

any assistance to resolve this is appreciated.


best",ynsqjehx kqgrsawl,GRP_0
job hr_payroll_na_u2 failed in job_scheduler at: 10/09/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u2 failed in job_scheduler at: 10/09/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
job hr_payroll_na_u1 failed in job_scheduler at: 10/09/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u1 failed in job_scheduler at: 10/09/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
job hr_payroll_na_u6 failed in job_scheduler at: 10/09/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u6 failed in job_scheduler at: 10/09/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
laptop cannot connect companysecure wifi network.,laptop cannot connect companysecure wifi network.,mqbxwpfn uclrqfxa,GRP_31
server HostName_1274 is not reachable,"c:\users\virakv>ping HostName_1274

pinging HostName_1274.company.company.com [82.02.04.7140] with 32 bytes of data:
request timed out.
request timed out.
request timed out.
request timed out.

ping statistics for 82.02.04.7140:
    packets: sent = 4, received = 0, lost = 4 (100% loss),",tkbuhcnq kdheauqo,GRP_12
"please help for vpn connection, try to contacted but can't!","name:wanayht
language:
browser:microsoft internet explorer
email:xztveoqs.zyrnqiav@gmail.com
customer number:
telephone:
summary:please help for vpn connection, try to contacted but can't!",xztveoqs zyrnqiav,GRP_0
dell:7350: laptop will not stay connected to the internet.,"name:stgyott gdhdyrham
language:
browser:microsoft internet explorer
email:stgyott.gdhdyrham@company.com
customer number:
telephone:+6sartlgeo lhqksbd
summary:hi i have a dell latitude 7350 which i use from home office & remotely. laptop will not stay connected to the internet. can you assist please?",kizybvpj hisaobfx,GRP_0
"msd crm - outlook continues to display start, can not enter the normal interface.","please provide details of the issue.
outlook continues to display start, can not enter the normal interface.",loesgbfh tknsuhvw,GRP_31
erp SID_34 password,"received from: zuxcfonv.nyhpkrbe@gmail.com

gso ,

please reset password for hanx123 ,",zuxcfonv nyhpkrbe,GRP_0
hpqc installation,"received from: elixsfvu.pxwbjofl@gmail.com

hi,

i'm trying to install hpqc for travel_tool uacyltoe hxgayczeing with my windows user name and password but have the following error message.

[cid:image001.png@01d222cf.33a9b3e0]

best",elixsfvu pxwbjofl,GRP_0
vpn not working for rjeyfxlg ltfskygw,"219581173[‎10/‎10/‎2016 5:01 am] lzspyjki smdbqnef: 
ok
[‎10/‎10/‎2016 5:02 am] lzspyjki smdbqnef: 
bring up notepad
her name is oyunatye
[‎10/‎10/‎2016 5:03 am]",lzspyjki smdbqnef,GRP_0
job Job_1306 failed in job_scheduler at: 10/09/2016 18:11:00,"received from: monitoring_tool@company.com

job Job_1306 failed in job_scheduler at: 10/09/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_9
job Job_461 failed in job_scheduler at: 10/09/2016 17:41:00,"received from: monitoring_tool@company.com

job Job_461 failed in job_scheduler at: 10/09/2016 17:41:00",bpctwhsn kzqsbmtp,GRP_8
node HostName_1195 located at usa is down since 10/9/2016 10:32 am,"node HostName_1195 located at usa is down since 10/9/2016 10:32 am.

node down due to the power flap.
check with the site admin during the business hours on monday.",spxqmiry zpwgoqju,GRP_8
"HostName_1238:application plm - dsc file on node HostName_1238 is unreachable""","HostName_1238:application plm - dsc file on node HostName_1238 is unreachable""",jyoqwxhz clhxsoqy,GRP_14
"HostName_521:application plm conversion server on node HostName_521 is warning"" action","HostName_521:application plm conversion server on node HostName_521 is warning"" action",jyoqwxhz clhxsoqy,GRP_14
job Job_1393 failed in job_scheduler at: 10/09/2016 10:55:00,"received from: monitoring_tool@company.com

job Job_1393 failed in job_scheduler at: 10/09/2016 10:55:00",bpctwhsn kzqsbmtp,GRP_9
resetting of erp password,"received from: ngjztqai.xqjzpvru@gmail.com

hi ,

request you to reset  my  erp password.",xgjkafcn uijphdyx,GRP_0
dpozkmie vjuybcwz 27367 erp account locked,"received from: boithdfa.tojwnydh@gmail.com

please unlock account.",boithdfa tojwnydh,GRP_0
job Job_1314 failed in job_scheduler at: 10/09/2016 09:38:00,"received from: monitoring_tool@company.com

job Job_1314 failed in job_scheduler at: 10/09/2016 09:38:00",bpctwhsn kzqsbmtp,GRP_9
job snp_heu_1_regen failed in job_scheduler at: 10/09/2016 08:51:00,"received from: monitoring_tool@company.com

job snp_heu_1_regen failed in job_scheduler at: 10/09/2016 08:51:00",bpctwhsn kzqsbmtp,GRP_6
"HostName_977 :application tax_interface proc counts on node HostName_977 is critical""","the tax_interface webpage is reporting a : down status on, HostName_977. 
application tax_interface proc counts on node HostName_977 is critical"" 
 application tax_interface prod app server on node HostName_977 is dow",jyoqwxhz clhxsoqy,GRP_14
job Job_3051 failed in job_scheduler at: 10/09/2016 05:40:00,"received from: monitoring_tool@company.com

job Job_3051 failed in job_scheduler at: 10/09/2016 05:40:00",bpctwhsn kzqsbmtp,GRP_8
job Job_3049 failed in job_scheduler at: 10/09/2016 05:30:00,"received from: monitoring_tool@company.com

job Job_3049 failed in job_scheduler at: 10/09/2016 05:30:00",bpctwhsn kzqsbmtp,GRP_8
unable to create customers in engineering tool,"name : ilhcgoqf xlibynvc
email : ilhcgoqf.xlibynvc@gmail.com
telephone : 
summary : hello, i have problems with my engineering_tools. it is impossible to create a new customer.",ilhcgoqf xlibynvc,GRP_25
job Job_3343 failed in job_scheduler at: 10/09/2016 04:30:00,"received from: monitoring_tool@company.com

job Job_3343 failed in job_scheduler at: 10/09/2016 04:30:00",bpctwhsn kzqsbmtp,GRP_8
Replace the system notebook,I put my notebook reinstall the system,xjvubmlq vyamhjip,GRP_30
There is a link file does not open,"There is a link file does not open, suggesting low version",qsfcxzel quwykhno,GRP_30
"EU_tool - worklist is not available, confirmation is also not possible.","the last worklist was created on friday, october 8th at 3:50 am.",frzjtmyk wzacvhki,GRP_25
job Job_3343 failed in job_scheduler at: 10/09/2016 02:00:00,"received from: monitoring_tool@company.com

job Job_3343 failed in job_scheduler at: 10/09/2016 02:00:00",bpctwhsn kzqsbmtp,GRP_8
job Job_3051 failed in job_scheduler at: 10/09/2016 01:08:00,"received from: monitoring_tool@company.com

job Job_3051 failed in job_scheduler at: 10/09/2016 01:08:00",bpctwhsn kzqsbmtp,GRP_8
job pp_EU_tool_netch_keheu1 failed in job_scheduler at: 10/09/2016 00:37:00,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_keheu1 failed in job_scheduler at: 10/09/2016 00:37:00",bpctwhsn kzqsbmtp,GRP_8
job Job_3049 failed in job_scheduler at: 10/09/2016 00:35:00,"received from: monitoring_tool@company.com

job Job_3049 failed in job_scheduler at: 10/09/2016 00:35:00",bpctwhsn kzqsbmtp,GRP_8
job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/09/2016 00:20:00,"received from: monitoring_tool@company.com

job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/09/2016 00:20:00",bpctwhsn kzqsbmtp,GRP_8
job pp_EU_tool_netch_ap1 failed in job_scheduler at: 10/09/2016 00:16:00,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_ap1 failed in job_scheduler at: 10/09/2016 00:16:00",bpctwhsn kzqsbmtp,GRP_8
job pp_EU_tool_netch_ap2 failed in job_scheduler at: 10/09/2016 00:03:00,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_ap2 failed in job_scheduler at: 10/09/2016 00:03:00",bpctwhsn kzqsbmtp,GRP_8
job Job_452 failed in job_scheduler at: 10/08/2016 21:39:00,"received from: monitoring_tool@company.com

10/8/2016 9:38:53 pm :: unable to allocate processing resources. error: all backup proxies are offline or outdated 


job Job_452 failed in job_scheduler at: 10/08/2016 21:39:00",bpctwhsn kzqsbmtp,GRP_8
customer accounts contact  list are not populating in crm dynamics,"hello,
the issue: contacts that have been designated to track in crm are not showing up in crm and i'm not sure why. see the screen shots below
 

 

biyhll kthyarg
sales engineer - wc1 team

smhepfdn.aypgzieh@gmail.com",smhepfdn aypgzieh,GRP_40
password resset request,"from: rakthyesh ramdntythanjesh 
sent: sunday, october 09, 2016 4:41 am
to: kzishqfu bmdawzoi
cc: tiyhum kuyiomar
subject: re: request to reset microsoft online services password for hgudmrta.vidzoqfl@gmail.com

dear dene,


• accounts status is  unlocked for user hgudmrta.vidzoqfl@gmail.com 

please note the following url using which you can unlock all accounts and setup one single password for access across all systems from any other pc connected to the company network.
 

 
for a step by step guide on how to use this site, click on the following link
 

 
let me know if you need more information or assistance on this matheywter.


kind",hgudmrta vidzoqfl,GRP_0
password reset    request,password reset    request,wrdmxloh dshplynj,GRP_0
distributor_tool npr error code,"email screen shot of error.  duane said ""remember seeing a similar error during uacyltoe hxgayczeing that we resolved which had to do with the customer master. i think it had to do with a uacyltoe hxgaycze request and using the actual customer rather than the requester as the t&d customer.""

this npr is for a quote & not a t&d order.",fgaulydz crswlkev,GRP_21
job bkbackup_tool_powder_prod_full failed in job_scheduler at: 10/08/2016 18:36:00,"received from: monitoring_tool@company.com

job bkbackup_tool_powder_prod_full failed in job_scheduler at: 10/08/2016 18:36:00",bpctwhsn kzqsbmtp,GRP_8
erp password reset,"ic
 welcome, our next available agent will be with you shortly...
 interaction alerting agent.
 website visitor has joined the conversation
rakthyesh ramdntythanjesh
 hi ramdntythanjesh
ramdntythanjesh
 hi rakthyesh
rakthyesh ramdntythanjesh",trixslny mbwishyo,GRP_0
HostName_1015:volume: c:\ is over 85% space consumed. space available: 4.7 g,HostName_1015:volume: c:\ is over 85% space consumed. space available: 4.7 g,oldrctiu bxurpsyi,GRP_12
job Job_480 failed in job_scheduler at: 10/08/2016 13:38:00,"received from: monitoring_tool@company.com

job Job_480 failed in job_scheduler at: 10/08/2016 13:38:00",bpctwhsn kzqsbmtp,GRP_12
tax rate   mismatch,"received from: ikerxqwz.prkyuitl@gmail.com

hello,

during the ongoing   internal audit  conducted by e&y  , it was  observed that in list of   inwarehouse_tools attached , tax rate  was different from the one  updated  in the product hierarchy

request you to look into the reason  for few samples  and identify reasons   why incorrect  tax rate was captured  in inwarehouse_tool tax  and not as per product hierarchy .

also let us know whether   it   was system error .",ikerxqwz prkyuitl,GRP_29
job Job_484 failed in job_scheduler at: 10/08/2016 12:11:00,"received from: monitoring_tool@company.com

job Job_484 failed in job_scheduler at: 10/08/2016 12:11:00",bpctwhsn kzqsbmtp,GRP_8
mobile device activation,"from: ftnijxup sbltduco
sent: saturday, october 08, 2016 8:29 pm
to: nwfodmhc exurcwkm
subject: wg: synchronization with Exchange ActiveSync is temporarily blocked on your device, until access is granted by the administrator.

help desk,
please take my new iphone 6s out of quarantine.",ftnijxup sbltduco,GRP_0
erp locked - please reset for nabjwvtd sprhouiv 27388,received from: boithdfa.tojwnydh@gmail.com,boithdfa tojwnydh,GRP_0
unable to see emails which are older than 30 days,unable to see emails which are older than 30 days,ntuhoafg bzwefjvk,GRP_0
erp SID_34 password reset,erp SID_34 password reset,oiudarbk ezhnjwdt,GRP_0
"network outage: india, in- orelikon balzers coating india limited site is hard down since 7:42 am at 10/ 8 et","what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   ____7:42 am at 10/ 8 et _________________

3.  scheduled maintenance ( power) ? ____no___    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? __no_____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___no___    (yes/no/na) 

6. backup circuit active ?   ____no____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jyoqwxhz clhxsoqy,GRP_8
blank call // gso // loud noise,blank call // gso // loud noise,rbozivdq gmlhrtvp,GRP_0
telephone repair  pu-4 (shop floor 173 connection),"received from: segvwfyn.mogtrevn@gmail.com

dear sir
request you to depute telephone  repair  person to pu-4 shop floor (173  shop floor connection)  as it not working….

segvwfyn mogtrevn
assistant manager- manufacturing
segvwfyn.mogtrevn@gmail.com<mailto:yuxloigj.tzfwjxhe@gmail.com>


[cid:image009.jpg@01SID_35d8e.07ce5550]",segvwfyn mogtrevn,GRP_19
call came and got disconnected,call came and got disconnected,rbozivdq gmlhrtvp,GRP_0
supply_chain_software password reset,"from: ftnijxup sbltduco 
sent: saturday, october 08, 2016 2:23 pm
to: qaohugxw kdeqjncw; nwfodmhc exurcwkm
subject: re: my access to supply_chain_software is blocked 


help desk,
please check pathuick's account in supply_chain_software.",qaohugxw kdeqjncw,GRP_0
supply_chain_software password reset,"supply_chain_software password reset

from: ftnijxup sbltduco 
sent: saturday, october 08, 2016 2:21 pm
to: thsyrley shi; nwfodmhc exurcwkm
subject: re: reply : finished: start of s&op process

help desk,
please check thsyrley's account in supply_chain_software and assist for sign-on.",qbzlfeva fmxwqugs,GRP_0
erp SID_34 password reset,erp SID_34 password reset,iczltbdf cmvjhyxl,GRP_0
usa plant - company-na-usa-usa-plant-bld1-qa-carb-2960-01-access-sw01 switch is down since 4:53am et on 10/08/16,usa plant - company-na-usa-usa-plant-bld1-qa-carb-2960-01-access-sw01 switch is down since 4:53am et on 10/08/16,dkmcfreg anwmfvlg,GRP_8
reset passwords for jvpkulxw ovuweygj using password_management_tool password reset.,reset passwords for jvpkulxw ovuweygj using password_management_tool password reset.,jvpkulxw ovuweygj,GRP_0
account got locked,account got locked,gwmspqeo vwfetaqg,GRP_0
send e-mail from engineering tool doesn't work anymore,"since feb / march 2016 it's not possible to send e-mail for the user details dialog anymore (e-mail address). it used to work before.
that function is very helpful for the end user to contact the designer on issues/question directly from engineering tool without leaving engineering tool.
see attachments (dialog and error message)",tghrloks jbgcvlmf,GRP_11
"ms outlook2013 always show is starting, not display properly interface","please provide details of the issue.
ms outlook2013 always show is starting, not display properly interface",molihtdq auprogsj,GRP_31
job Job_2080 failed in job_scheduler at: 10/08/2016 02:24:00,"received from: monitoring_tool@company.com

job Job_2080 failed in job_scheduler at: 10/08/2016 02:24:00",bpctwhsn kzqsbmtp,GRP_6
job Job_2039 failed in job_scheduler at: 10/08/2016 02:22:00,"received from: monitoring_tool@company.com

job Job_2039 failed in job_scheduler at: 10/08/2016 02:22:00",bpctwhsn kzqsbmtp,GRP_6
job Job_2074 failed in job_scheduler at: 10/08/2016 02:07:00,"received from: monitoring_tool@company.com

job Job_2074 failed in job_scheduler at: 10/08/2016 02:07:00",bpctwhsn kzqsbmtp,GRP_6
unable to do kis for dn 8058280136,"received from: gjtyswkb.dpvaymxr@gmail.com

dear it,

pls help to check dn 9169391247, we unable to do kis for this dn,",gjtyswkb dpvaymxr,GRP_18
job bkbackup_tool_reporting_tool_prod_full failed in job_scheduler at: 10/08/2016 01:12:00,"received from: monitoring_tool@company.com

job bkbackup_tool_reporting_tool_prod_full failed in job_scheduler at: 10/08/2016 01:12:00",bpctwhsn kzqsbmtp,GRP_8
erp SID_34 account,"received from: zuxcfonv.nyhpkrbe@gmail.com

gso

please unlock and reset password for lij8syte ,also send password to jinxyhdi luji ,",zuxcfonv nyhpkrbe,GRP_0
job Job_1329 failed in job_scheduler at: 10/08/2016 00:11:00,"received from: monitoring_tool@company.com

job Job_1329 failed in job_scheduler at: 10/08/2016 00:11:00",bpctwhsn kzqsbmtp,GRP_9
power outage: engineering_toolkuznetsk warehouse - (company) network is down since 10:52pm et on 10/07/2016,"what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ________10:52pm et on 10/07/2016_____________

3.  scheduled maintenance ( power) ? ___no____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? __no_____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __no____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  ____no_____     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    ______no_____    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",dkmcfreg anwmfvlg,GRP_8
job Job_549 failed in job_scheduler at: 10/07/2016 23:05:00,"received from: monitoring_tool@company.com

job Job_549 failed in job_scheduler at: 10/07/2016 23:05:00",bpctwhsn kzqsbmtp,GRP_8
job Job_549 failed in job_scheduler at: 10/07/2016 23:05:00,"received from: monitoring_tool@company.com

job Job_549 failed in job_scheduler at: 10/07/2016 23:05:00",bpctwhsn kzqsbmtp,GRP_8
account is expired,"received from: zuxcfonv.nyhpkrbe@gmail.com

gso,

the account vvlixthy is expired , could you extend the account date to oct 8 2018 , jacyhky liuhyt is sponsor is jacyhky liuhyt ,",zuxcfonv nyhpkrbe,GRP_2
account is locked,account is locked,jofvunqs uwigjmzv,GRP_31
Reply: password_management_tool,"received from: weqocbnu.eoixcpvy@gmail.com

hi all


please reset my password for SID_78 for my entering error more than 3 times.

user name: caoryhuq



Daily business, please send to south.service@company.com <mailto: Please send to south.service@company.com> Public Mailbox

best",weqocbnu eoixcpvy,GRP_0
Computer login password forget to reset the password.,Computer login password forget to reset the password.,weqocbnu eoixcpvy,GRP_31
password reset using password_management_tool,password reset using password_management_tool,sxhqfaoe evobwgiy,GRP_0
node usa pbx (10.1.19.200 ) located at usa is down since 7:14 pm et on 10/07.,node usa pbx (10.1.19.200 ) located at usa is down since 7:14 pm et on 10/07.,oldrctiu bxurpsyi,GRP_37
